company_name,job_state,min_salary,max_salary,python_yn,R_yn,spark,aws,excel,data_scientist,data_engineer,senior_data_scientist,data_analyst,senior_data_engineer,min_size,max_size,min_revenue,max_revenue,private_company,public_company,nonprofit,subsidiary_or_business
"Autodesk
", CA,116.0,185.0,1,0,1,0,0,0,0,1,0,0,5001,10000,2000.0,5000.0,0,1,0,0
"OneMagnify
", MI,59.0,116.0,0,0,0,0,1,0,0,0,0,0,201,500,20.1,100.0,1,0,0,0
"IZEA
", FL,48.0,95.0,1,0,1,1,1,0,1,0,0,0,51,200,25.0,50.0,0,1,0,0
"Vionic Group
", CA,31.0,72.0,0,0,0,0,1,0,0,0,0,0,51,200,100.0,500.0,0,0,0,1
"Takeda Pharmaceuticals
", CA,105.0,198.0,0,0,0,0,1,0,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Dodge Data & Analytics
", NJ,55.0,100.0,1,0,0,0,1,0,0,0,0,0,201,500,20.1,100.0,1,0,0,0
"Takeda Pharmaceuticals
", MA,98.0,182.0,0,0,0,0,1,0,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Plymouth Rock Assurance
", NJ,73.0,124.0,0,0,0,0,1,0,0,1,0,0,1001,5000,10.0,25.0,1,0,0,0
CA-One Tech Cloud, CA,200.0,250.0,1,0,0,1,1,0,0,0,0,0,51,200,5.0,10.0,1,0,0,0
"Beebe Healthcare
", DE,43.68,70.72,0,0,0,0,0,0,0,0,0,0,1001,5000,100.0,500.0,0,0,1,0
"Takeda Pharmaceuticals
", MA,117.0,206.0,0,0,0,0,0,0,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Argo Group US
", NY,111.0,183.0,1,0,1,1,0,0,0,0,0,0,1001,5000,1000.0,2000.0,0,1,0,0
"Associated Electric Cooperative
", MO,44.0,78.0,0,0,0,0,1,0,0,0,0,0,501,1000,1000.0,2000.0,1,0,0,0
"Software Engineering Institute
", PA,81.0,159.0,1,0,0,0,0,0,0,0,0,0,501,1000,50.1,200.0,0,0,0,0
"PennyMac
", AZ,83.0,166.0,1,0,0,0,1,0,0,0,0,0,1001,5000,500.0,1000.0,0,1,0,0
"Zest AI
", CA,114.0,182.0,1,0,0,0,0,0,0,1,0,0,51,200,50.0,100.0,1,0,0,0
"DECISIVE ANALYTICS Corporation
", AL,42.0,76.0,1,0,0,0,1,0,0,0,0,0,51,200,25.0,50.0,1,0,0,0
"The Hanover Insurance Group
", MA,114.0,179.0,1,0,0,0,1,0,0,0,0,0,5001,10000,5000.0,10000.0,0,1,0,0
"Karyopharm Therapeutics Inc.
", MA,60.0,123.0,0,0,0,0,1,0,0,0,0,0,201,500,20.1,100.0,0,1,0,0
"Tempus Labs
", IL,100.0,166.0,1,0,0,1,0,0,0,0,0,0,501,1000,50.1,200.0,1,0,0,0
"Recursion Pharmaceuticals
", UT,108.0,173.0,1,0,0,1,0,0,0,0,0,0,51,200,1.0,5.0,1,0,0,0
"P2 Energy Solutions
", LA,48.0,93.0,0,0,0,0,1,0,1,0,0,0,501,1000,50.1,200.0,1,0,0,0
"Rochester Regional Health
", NY,54.0,115.0,0,0,0,0,0,0,0,0,0,0,10000,20000,500.0,1000.0,0,0,0,0
"ClearEdge
", MD,60.0,127.0,0,0,0,0,1,0,0,0,0,0,51,200,5.0,10.0,1,0,0,0
"Rubius Therapeutics
", MA,90.0,179.0,0,0,0,0,0,0,0,0,0,0,201,500,100.0,500.0,0,1,0,0
"Tapjoy
", CA,138.0,224.0,1,0,1,0,0,0,0,0,0,0,201,500,10.0,25.0,1,0,0,0
"Rochester Regional Health
", NY,54.0,115.0,0,0,0,0,0,0,0,0,0,0,10000,20000,500.0,1000.0,0,0,0,0
"Credit Sesame
", CA,190.0,220.0,1,0,1,1,0,0,0,0,0,0,51,200,50.0,100.0,1,0,0,0
"San Manuel Casino
", CA,35.0,62.0,0,0,0,0,1,0,0,0,0,0,1001,5000,100.0,500.0,1,0,0,0
"Texas Health Huguley Hospital
", TX,37.44,52.0,0,0,0,1,0,0,0,0,0,0,1001,5000,50.0,100.0,0,0,0,0
"Teasdale Latin Foods
", IL,39.0,66.0,0,0,0,0,0,0,0,0,0,0,501,1000,100.0,500.0,1,0,0,0
"Software Engineering Institute
", PA,81.0,167.0,0,0,0,0,0,0,0,0,0,0,501,1000,50.1,200.0,0,0,0,0
"Central California Alliance for Health
", CA,42.0,86.0,0,0,0,0,0,0,0,0,0,0,501,1000,500.0,1000.0,0,0,1,0
"Pilot Flying J Travel Centers LLC
", TN,69.0,127.0,1,0,0,0,0,0,0,0,0,0,10000,20000,10000.0,20000.0,1,0,0,0
"Beebe Healthcare
", DE,43.68,70.72,0,0,0,0,0,0,0,0,0,0,1001,5000,100.0,500.0,0,0,1,0
"Palermo's Pizza
", WI,40.0,68.0,0,0,0,0,0,0,0,0,0,0,501,1000,50.1,200.0,1,0,0,0
"Advanced BioScience Laboratories
", MD,49.0,113.0,0,0,0,0,1,0,0,0,0,0,201,500,25.0,50.0,1,0,0,0
"Echo Global Logistics
", IL,75.0,140.0,0,0,0,0,0,0,0,0,0,0,1001,5000,2000.0,5000.0,0,1,0,0
"Truckstop.com
", IL,86.0,139.0,1,0,0,1,1,0,0,0,0,0,501,1000,50.1,200.0,1,0,0,0
"Lockheed Martin
", VA,66.0,112.0,1,0,1,0,1,1,0,0,0,0,10000,20000,10000.0,20000.0,0,1,0,0
"Acuity Insurance
", WI,76.0,125.0,0,0,0,0,0,0,0,0,0,0,1001,5000,1000.0,2000.0,1,0,0,0
"Fareportal
", NY,44.0,86.0,0,0,0,0,1,0,0,0,0,0,1001,5000,2000.0,5000.0,1,0,0,0
"Veterans Affairs, Veterans Health Administration
", LA,31.200000000000003,52.0,0,0,0,0,0,0,0,0,0,0,10000,20000,1000.0,4000.0,0,0,0,0
"Credera
", TX,53.0,92.0,1,0,1,1,1,1,0,0,0,0,201,500,20.1,100.0,0,0,0,1
"KnowBe4
", FL,44.0,78.0,1,0,0,0,1,0,0,0,0,0,501,1000,100.0,500.0,1,0,0,0
